微博正文,情感分析结果
王冰冰姐姐,正面
姐姐，王冰冰姐姐,正面
姐姐，王冰冰姐姐,正面
王冰冰超话第一次获得再来亿遍标签,负面
“你知道的独有的感觉是复刻不了的（二十四节气你们看过就代表我看过啦，因为我热爱学习）”#王冰冰#王冰冰超话L_小張乏了的微博视频,正面
王冰冰超话国之大雅·二十四节气之惊蛰截修大家晚安,正面
王冰冰超话人生就像一场旅行，不在乎目的地只在乎沿途的风景。晚安冰冰晚安各位小伙伴,正面
王冰冰超话🌈春雨初惊蛰，万物已复苏。经历蛰伏的生命，总能迎来新的世界。愿所有美好，与春天一起醒来晚安大家，晚安冰冰,正面
王冰冰超话。,负面
王冰冰超话学习真的很累，但是真的很想很想见到你。希望努力，可以有一天看到你,正面
王冰冰超话冰冰还是那么喜欢梳中分晚安~,负面
王冰冰超话这，刚好卡了,负面
天了噜！我在王冰冰超话又双叒叕升级了！当前等级LV.9，获得冰雪聪明头衔，小伙伴们速来围观~超话传送门→王冰冰超话,正面
王冰冰超话冰冰太美啦！她将来要和什么样的男人共度余生呢？要多优秀才能配的上她L无限室内设计工作室的微博视频,正面
方圆脸发型小心机！！新年发型耳饰就学王冰冰！,负面
王冰冰超话记录一下睡眠情况，一周一更2024年，2月26～3月3周一∶开学第一天，早上没有被任何东西吵醒！很舒服周二∶有四六级查分（早上6点开始查分），不知道谁订了一个6点闹钟把我吵醒，等到7点，又一个闹钟把我吵醒，离谱。周三∶还是那个七点的闹钟把我吵醒，等到8点多，有个室友在收拾书包，声音很大，把我吵醒。今天没课的，一大早上收拾书包，等我被他吵醒起床后，他还没走，好久后才走。周四∶可以，没被吵醒，7点的闹钟，6点59醒，这1分钟，像是死刑犯的最后一分钟周五∶昨晚帮室友弄了一下Word的格式就到12点了，本来想着11点多一点就睡觉呢，半夜醒了一次，6点又被闹钟吵醒，6点多被收拾书包的吵醒周六∶没睡好，半夜醒了好几次，还做梦了，梦到她了然后就梦醒了，醒了后，过了不到5分钟吧，就7点了，接近着就是逆天7点闹钟，关上继续睡＋尽头没课＋没关彻底一直响周日∶半夜醒来一两次，没听到闹钟,负面
王冰冰超话是我的错觉吗小红书更新速度简直不像王姐,负面
王冰冰超话,负面
王冰冰超话晚安家人们谁懂大学生要跑操,正面
王冰冰超话jrm，我想换名字了，有没有什么好听一点的名字，吃什么什么的都可以，然后喵酱汪酱啥的也都可以,负面
王冰冰超话冰冰有点像周杰伦,负面
王冰冰壁纸照超话,负面
王冰冰超话长江后浪推前浪，前浪却被后浪推。晚安冰冰晚安各位小伙伴,正面
王冰冰超话冰冰果然还是和语文课本的适配度最高！@吃花椒的喵酱,正面
王冰冰真的好看，甜美邻家小姑娘,正面
#谷爱凌王冰冰同框自拍这是什么梦幻联动#王冰冰谷爱凌同框两个美女我都爱谁能拒绝美女贴贴呢能把合照发我吗#美女#微博VC计划#L兜兜娱乐屋的微博视频,负面
我在王冰冰超话连续签到30天，获得了“签地自萌”头衔，发帖纪念,负面
姐姐，王冰冰姐姐,正面
#晚安地球村#【心情大好出去走走/碧海蓝天吹吹风/河山大好出去走走/别我在家当懒虫】一起听王冰冰@吃花椒的喵酱@许魏洲ZZ演唱的《河山大好》龙年临近，各地花灯庙会陆续登场，赶紧拿出手机，参与#乡聚中国年#，晒出家乡年味央视三农,正面
王冰冰超话兄弟们帮帮忙,负面
我在王冰冰超话连续签到30天，获得了“签地自萌”头衔，发帖纪念,负面
#微博卡片背景#我正在使用王冰冰超话的专属等级卡片背景，快来一起解锁超话惊喜装扮吧！O网页链接,正面
王冰冰超话大家晚安明天一大早就要回学校了笑不出来了,负面
王冰冰毛不易同台合作演绎东北二人转啊啊啊啊啊，毛不易好可爱，还得是王冰冰真的超级耐看！！！颜值是真的高啊啊啊啊啊身材也好L密斯特扒的微博视频,正面
天了噜！我在王冰冰超话又双叒叕升级了！当前等级LV.9，获得冰雪聪明头衔，小伙伴们速来围观~超话传送门→王冰冰超话,正面
王冰冰超话更适合当代青年的语文课本L查干湖在逃公主的微博视频,正面
王冰冰超话,负面
王冰冰超话二月再见，三月你好,负面
王冰冰张韬同框合照好养眼王冰冰王冰冰采访名场面   #亿点曝光计划##优质博文上热搜开放计划#L玩偶姐的微博的微博视频,负面
港脏话每次发照片都让我以为是王冰冰成为了我的好盆友,负面
王冰冰超话明天国之大雅清明篇就要播出了，来回顾一下去年的同期视频，最后这段看了好多遍Lsym诗宇末的微博视频,正面
虽然但是，现在不流行女明星嫁豪门了，但是女明星也不能饥不择食啊。玩弟弟也要玩家教和家境双好的呗。有时候美女一落地和又穷又俗的男人谈恋爱是真的会掉价，仙女变村姑的感觉。无论如何寂寞也不能自降身价呗，忍一忍总归有精品的呗。失败案例参考王冰冰。,正面
王冰冰超话清明将至，愿君往后世事皆可清澈明朗，晚安大家，晚安冰冰,正面
王冰冰壁纸照超话,负面
王冰冰超话#奇妙中国#奇妙中国第二季核能堡垒篇总结《奇妙中国》本集带我们走进了充满神秘色彩的核电站，揭开了其最新安全技术的面纱。在这里，能量的来源是那些仅有6厘米直径、重约200克的燃料球，内含大约12000颗二氧化铀核芯颗粒。这些微小的颗粒在裂变反应后能产生的热量相当于1.5吨标准煤，足以供应一个普通家庭一年的用电需求。与依赖天气和时间的自然资源不同，核能的稳定性和零温室气体排放让它成为了一种吸引人的能源选择。然而，公众对于核安全的担忧始终存在。工程师们采取了层层保护措施来确保这些小球中的核原料安全无虞。每颗核芯颗粒都被四层特殊耐高温材料所包裹，并全部被基体石墨粉封存。经过高达1900℃的高温处理，形成了坚不可摧的燃料球。即便在极端情况下，如核电站的所有防护措施失效，这些燃料球泄露出来的辐射量也仍然处于安全可控的范围。但是，制造这些燃料球的目的不仅仅是为了控制它们，而是为了利用它们发电。在反应堆中，燃料球可以散发出高达1200摄氏度的高温，形成一个强大的能量场。那么，这些能量如何转换为电力呢？答案在于一系列巨大的罐体。工程师将氦气注入反应堆，氦气在通过燃料球组成的反应堆时被加热至1000℃，瞬间蒸发水蒸气发生器中的水，生成强大动力的蒸汽，进而推动汽轮机发电。由于氦气是一种惰性气体，它在传递热量的同时几乎不与核燃料发生化学反应，大大降低了泄漏和事故的风险。中国的高温气冷堆技术代表了我们在安全利用核能方面取得的最新进展。科技的发展让我们更有勇气面对未知的未来，这正是《奇妙中国》想要展示的核心信息。通过不断探索和创新，我们不仅能够提升能源效率，还能确保环境的安全与可持续性。这一集不仅展示了技术的奇迹，也给我们每个人带来了对未来无限的希望和信心。,正面
#微博卡片背景#我正在使用王冰冰超话的专属等级卡片背景，快来一起解锁超话惊喜装扮吧！O网页链接,正面
王冰冰超话#奇妙中国#奇妙中国第二季核能堡垒篇总结《奇妙中国》本集带我们走进了充满神秘色彩的核电站，揭开了其最新安全技术的面纱。在这里，能量的来源是那些仅有6厘米直径、重约200克的燃料球，内含大约12000颗二氧化铀核芯颗粒。这些微小的颗粒在裂变反应后能产生的热量相当于1.5吨标准煤，足以供应一个普通家庭一年的用电需求。与依赖天气和时间的自然资源不同，核能的稳定性和零温室气体排放让它成为了一种吸引人的能源选择。然而，公众对于核安全的担忧始终存在。工程师们采取了层层保护措施来确保这些小球中的核原料安全无虞。每颗核芯颗粒都被四层特殊耐高温材料所包裹，并全部被基体石墨粉封存。经过高达1900℃的高温处理，形成了坚不可摧的燃料球。即便在极端情况下，如核电站的所有防护措施失效，这些燃料球泄露出来的辐射量也仍然处于安全可控的范围。但是，制造这些燃料球的目的不仅仅是为了控制它们，而是为了利用它们发电。在反应堆中，燃料球可以散发出高达1200摄氏度的高温，形成一个强大的能量场。那么，这些能量如何转换为电力呢？答案在于一系列巨大的罐体。工程师将氦气注入反应堆，氦气在通过燃料球组成的反应堆时被加热至1000℃，瞬间蒸发水蒸气发生器中的水，生成强大动力的蒸汽，进而推动汽轮机发电。由于氦气是一种惰性气体，它在传递热量的同时几乎不与核燃料发生化学反应，大大降低了泄漏和事故的风险。中国的高温气冷堆技术代表了我们在安全利用核能方面取得的最新进展。科技的发展让我们更有勇气面对未知的未来，这正是《奇妙中国》想要展示的核心信息。通过不断探索和创新，我们不仅能够提升能源效率，还能确保环境的安全与可持续性。这一集不仅展示了技术的奇迹，也给我们每个人带来了对未来无限的希望和信心。,正面
王冰冰超话经过我的发现，鸡爪和fa椒比我更能说废话晚安～,负面
王冰冰超话王冰冰已经多久没有更新vlog了明天更新吧,负面
王冰冰超话大家晚上好更一下大雅的预告海报前四张是不同的调色方案，看看明天能不能用上p5是原图去水印，p6凑六宫格,负面
王冰冰超话我成为王冰冰超话超FUN啦发帖纪念一下~,负面
王冰冰超话没废话了，直接晚安吧估计明天@吃fa椒的喵酱废话大师该回来了晚安～,负面
王冰冰超话这句话就像是一句废话，因为它没有传达任何有用的信息或观点。晚安冰冰晚安各位小伙伴,负面
#王冰冰在当年最爆红的时候，就说了这样一番话。不得不所，美女真的通透又清醒！#王冰冰人间清醒发言#微博VC计划#L娱乐转转乐的微博视频,正面
#王冰冰原来一直都这么清醒啊，就算是在她最火爆的时候，她也一直都是谦虚低调的～#王冰冰活得好清醒#点亮我的小宇宙#微博VC计划#L娱乐转转乐的微博视频,正面
虽然但是，现在不流行女明星嫁豪门了，但是女明星也不能饥不择食啊。玩弟弟也要玩家教和家境双好的呗。有时候美女一落地和又穷又俗的男人谈恋爱是真的会掉价，仙女变村姑的感觉。无论如何寂寞也不能自降身价呗，忍一忍总归有精品的呗。失败案例参考王冰冰。,正面
王冰冰超话发点库存霓裳时光秀宣传片,正面
对不起，我抑制不住内心的喜悦！我在央视王冰冰超话等级达到LV.9，获得雪球糊脸头衔，快来恭喜我吧~传送门>>央视王冰冰超话,负面
央视王冰冰超话,负面
王冰冰超话四月好愿你的笑容如月般皎洁，照亮每一个黑暗的角落(ΘˍΘ=)晚安:.ﾟ٩(๑˘ω˘๑)۶:.｡,正面
“那河畔的金柳是夕阳中的新娘波光里的艳影在我的心头荡漾”#王冰冰#王冰冰超话,正面
王冰冰超话四月快乐，晚安💤,正面
王冰冰超话，,负面
王冰冰超话四月快乐,正面
王冰冰超话今天愚人节，据说冰冰本月会更新vlog，如果没更新当我没说晚安～,负面
王冰冰超话写一句废话就如同在沙漠中寻找一滴水，既无意义又浪费时间。晚安冰冰晚安各位小伙伴,负面
王冰冰超话大家晚上好，来一期回顾时隔三年，再看这一期视频，还是会不经意间嘴角上扬。她的甜美令人心动，她的清醒令人心疼，她的自信感染着屏幕前的你我,正面
王冰冰体制内女大穿搭合集，超多百元单品,正面
王冰冰超话虽然这说明不了什么，但是我还是想说。志愿服务大赛，她算是队长，要写团队队员的时候，她把我放在了第一位，开心，望周知。,负面
王冰冰壁纸照超话超话生日快乐,正面
王冰冰超话我的夜生活开始了,正面
热议《宋妍傅远舟》小说（全集完整新上小说大结局（宋妍傅远舟））全文阅读笔趣阁❗书名：《宋妍傅远舟》❗主角：宋妍傅远舟全文请到公#众#号〖神山文学〗发个主角名，就行了全文请到公#众#号〖神山文学〗发个主角　刚出宿舍，她脸上始终维持着的礼貌的笑容收敛，有点累的叹了口气。　　直觉告诉她，她的这几个室友，除了李梦，其他两个好像都不怎么好相处。　　王娇从她进门到现在眼睛就没从她面前的课本上移开过，一边啃着一个馒头一边学习，生怕耽误时间。　　而王冰冰，长的很好看，脸上妆容精致，身上的衣服什么的也能看出来是经过精心打扮过的，手上还做了贴钻的美甲。第896章江葎116　　一看就能知道平时很注重打扮，身上穿的衣服和鞋子也都是牌子，造型妆容什么的都很精致。　　可梁书儿也能一眼看出来对方对她有敌意，她不知道这才第一次见面她怎么得罪她了。　　刚才说话的语气也让她很不舒服，不过梁书儿也懒得跟对方计较。　　反正也就一年，如果真不好相处的话，到时也就回来睡睡觉，应该没什么事。　　也不知道江葎给她点的什么，梁书儿拿过外卖之后也没怎么看就直接上了楼。　　本来又饿又困，经过这一遭，她好像不怎么困了，反而有点发愁和犹豫，要不要还是回去住的好。　　刚进宿舍，一旁忽然传来一道惊呼：“摘星楼的外卖？”　　王冰冰夸张的走到梁书儿的面前一把拿过她手里还没来得及放下的外卖袋子，大声道：“我怎么不知道摘星楼还有送外卖的业务了，你这是在哪点的？我看看都点了什么。”　　梁书儿不知道什么摘星楼，听她口气应该是家名声很不错的餐厅，而且还不送外卖？　　正在她疑惑的时候，就见王冰冰已经打开她的袋子，把里面的好几个打包盒一一的拿了出来。　　梁书儿眉头微皱，有点不悦。　　郑彩也走了过来看着：“这打包盒可真精致啊，我还是第一次见到这样档次的外卖呢，不愧是摘星楼。”　　眼看着王冰冰就要帮她把那些盒盖都给打开，梁书儿抬手从她的手里拿过来。　　“摘星楼是什么地方？”她随口问，语气不怎么好。　　“你不知道？”王冰冰惊讶的抬头看向她：“海城的摘星楼你竟然都不知道？”　　“我刚从国外回来，不知道很奇怪吗？”梁书儿走到自己的位置上坐下，一一把盒盖给打开。　　两个菜一个汤，都是她爱吃的，而且明显叮嘱过，菜里都没有香菜。　　这是想要用吃的讨好她吗？　　梁书儿在心里“哼”了一声，心情却是已经变得很好。　名，就行了,正面
《宋妍傅远舟》（最新全集完整章节大结局）《宋妍傅远舟》全文阅读笔趣阁❗书名：《宋妍傅远舟》❗主角：宋妍傅远舟全文请到公#众#号〖神山文学〗发个主角名，就行了　这之前本来还想着不能天天回家，要多在宿舍住住，结果现在几乎直接住在宿舍了。　　梁书儿没想到开学之后她跟江葎两人见一面这么难，这明明在一个城市，却是硬生生搞成了异地恋。　　哦不，搞成了分居。　　这样长期下去的话不会影响感情吧？　　想到陈意昨天还悄悄问她是不是跟江葎吵架了，不然为什么这几天江葎晚上都没回去，而是直接住在了医院。　　梁书儿有点发愁，她好想江葎，想要被他抱在怀里睡。　　【江医生，我想你了。】梁书儿给江葎发了条消息，刚退出来，手机叮叮叮的响了起来，是李梦拉了一个群，是他们宿舍的四个人，在群里问她们有时间没，有的话晚上一起吃个饭，熟悉熟悉一下。　　梁书儿知道这顿饭是因为她，其他三人早就认识了，她是新来的，要认识也只有她要认识。　　毕竟这一星期内，虽然她都住在宿舍，可是四人的作息和课程都不一样，所以基本都见不上几面，梁书儿见的最多的人是王冰冰，因为他们一个专业，经常在一个教师遇到。　　再就是李梦，最后是王娇，有几次梁书儿起床上厕所王娇的床上都没人。　　【好。】梁书儿一边打字回复一边往外走：【地方你们选吧，我请客。】　　关了手机，梁书儿很轻的呼了一口气。　　人际交往好累啊。　　如果是在国外，她会直接拒绝，至于拒绝后会不会被人说什么她都不在乎。　　可是现在她考虑的东西却是多了些。　　首先，她不是一个人了，她结婚了，有老公。　　更重要的是江葎还是海大的教授，虽然人不怎么来，而且现在看来学校这边的人好像都没有看过之前的采访，不知道他们的关系。　　即使如此，她也不能任性的想说什么就说什么，想做什么就做什么。　　毕竟要是她这边有个什么事，到时候连累到江葎就不好了。　　她以前懒得去交际，不会也不喜欢，也没有那个时间。　　可是现在的她跟以前不一样了，所以在有些事上面，梁书儿想，她也可以试着去改变、去尝试一下。　　人际交往是一个正常人正常的需求，所以她觉得她也可以的。　　李梦本来提议要去吃火锅，一是火锅大多人都会喜欢，二是火锅边吃边聊，在热腾腾的气氛中可以更好的拉近彼此的距离。　　可是最后王冰冰却说她最近上火不能吃火锅，然后直接发了一个餐厅的链接在群里，说是一家新开的西餐厅，味道很不错。　　梁书儿问了一下其他人的意见，李梦说有点贵，王娇则是都可以。　全文请到公#众#号〖神山文学〗发个主角名，就行了,正面
【时卿顾景川】好看～热门小说～阅读-（时卿顾景川）笔趣阁❗书名：《时卿顾景川》❗主角：时卿顾景川全文请到公#众#号〖神山文学〗发个主角名，就行了　可偏偏在这个时候，梁书儿低头在他的鼻尖上亲了下，喊了声：“老公。”　　话落，成功看到男人在瞬间紧缩的瞳孔，梁书儿狡黠的笑了声，站直身绕过车头走到副驾驶座旁拉开车门坐进去。　　“你吃饭了吗？”她问着，拉过安全带正要系上。　　江葎却是忽然解开了自己身上的安全带探身过去接过了她手里的安全带，可却没立刻扣上，而是再次低头吻住了她。　　车厢内的温度越来越高，梁书儿的手死死的攥着男人胸前的衬衫，布料都跟着变了形。　　江葎最后把人松开的时候，梁书儿整个人被亲的跟一滩水似的的坐在那，眼眸水光潋滟，没什么威慑力的瞪了他一眼。　　江葎把她把安全带扣上，坐回去前在她的唇上重重的的亲了下，说：“没吃。”　　车子发动，离开停车场。　　不远处的电梯口，李梦跟王冰冰和王娇正走出来。　　“我刚才好像看到梁书儿了。”王冰冰看着已经消失在视线中的车尾，疑惑的问：“车内好像还有人，该不会就是她的男朋友吧。”　　“应该吧。”李梦没有看到。　　“你不是说她的男朋友长的很帅吗？都过来了怎么不上去？该不会是见不得人吧？”王冰冰笑着说。　　“你不相信就算了。”李梦说：“反正比你男朋友长得帅。”　　王冰冰：“你什么意思啊？”　　“没什么意思啊，我说的是实话，你到时见到了就知道了。”李梦说着转头看向王娇：“你回学校吗？我们一起？”　　“不了，我要去打工。”王娇说着已经径直转身离开。　　“我送你吧，我男朋友开车了。”王冰冰说。　　“算了，我坐地铁吧。”李梦说着转身要走，想到什么又回头看着王冰冰说：“我觉得梁书儿人挺好的，你以后别那么针对她了吧？”　　“你哪只眼睛看到我针对她了？”王冰冰脸色不怎么好看：“而且你跟她才认识多久啊就觉得人好了？”　　“你看到她刚才对她姐姐的态度没？她喜欢的人肯定喜欢她的姐姐，所以她才会那样对她姐，说话的语气我一个外人都看不过去。不过她姐的性格可真好啊，长的又好看，自己的妹妹那么不给面子她都一点也不生气，最后还要请我们吃饭，哎，我也好想要一个这样的姐姐。”　　“这是别人的家事具体怎么样我们又不知道，你以后还是别说了吧。”李梦说完直接离开了。　　“我想说什么就说什么你管得着嘛。”王冰冰冷哼了声，拿出手机打电话：“喂，亲爱的，你怎么还没下来啊，我腿都等酸了，对啊，我们吃完了，梁书儿？她走了啊……”　　……　　梁书儿是知道江葎在医院忙起来肯定是顾不上吃饭的，虽然在电话里答应的好好的，可梁书儿相信他肯定转头就忘了。　　所以到了家，她第一时间就想要去看看冰箱有什么，有菜的话就做个饭她正好可以一起吃点，刚才她都没怎么吃。　全文请到公#众#号〖神山文学〗发个主角名，就行了,正面
《时卿顾景川》（《时卿顾景川》小说全集完整大结局）全文阅读笔趣阁❗书名：《时卿顾景川》❗主角：时卿顾景川全文请到公#众#号〖神山文学〗发个主角名，就行了　“在哪？”江葎的声音透过手机电波传来，隐约似乎有点急。　　“我在……”梁书儿往四周看了一眼，正要说话，身后忽然传来一道声音：“梁书儿？”　　王冰冰快速跑过来，先是看了看梁书儿，随后看向站在一旁的黎杰，先是一愣，眼底同时闪过一丝惊讶。　　下一秒就见她看着梁书儿皱眉问：“你不是跟我说你在上课吗？你怎么会在这里？”　　“还有，你怎么会跟黎杰认识？你们是什么关系？”　　王冰冰问的很直接，看着两人的目光也让梁书儿不是很舒服。　　梁书儿没有回答她的话，而是对还没挂断的电话说：“我在教室外面，就有一排银杏树的这边。”　　听着梁书儿的语气，王冰冰看了一眼黎杰，声音有点大的问梁书儿：“谁啊，你男朋友吗？”　　说着不等梁书儿说话，她转头看向黎杰，笑着说：“学长，你该不会喜欢我舍友吧，她可是有男朋友的。”　　黎杰一听脸色大变。　　“这位同学，你误会了。”　　这话可不能乱说，老师要是听到的话他就完蛋了！　　梁书儿挂断电话，目光看向王冰冰，脸上的神色有点冷：“你找我有什么事吗？”　　“我请你吃饭吧。”王冰冰笑着说：“上次是你请的，这次换我，我也叫了王娇和李梦。”　　梁书儿想也没想的拒绝：“不好意思，我今天没时间。”第905章江葎125　　“你是约了你男朋友吗？”王冰冰问：“你跟他说一声，就说跟我们去吃饭，反正你跟你男朋友多的是机会相处嘛不是吗？”　　她说完见一旁的黎杰一直没离开，笑着问：“学长，你跟书儿是怎么认识的，你们在这是在要干什么呢？”　　黎杰闻言看向梁书儿，一声“师娘”正要脱口而出，梁书儿却是打断了她的话：“巧合，正好遇到。”　　“这样啊。”王冰冰点头，看着梁书儿笑着说：“我就说嘛，你都有男朋友了，怎么会跟学长有关系呢。”　　说完不等梁书儿说话，她过来挽住她的手亲昵的说：“走嘛走嘛，我位置都定好了，你不会这点面子都不给吧？”　　梁书儿拉开她的手，虚假的笑容都懒得维持了。　　“实在是不好意思，我跟我男朋友好久没见了，我今天要陪我男朋友。”　　梁书儿话落，抬头就见江葎正往这边走来。　全文请到公#众#号〖神山文学〗发个主角名，就行了,正面
王冰冰超话我成为王冰冰超话超FUN啦发帖纪念一下~,负面
【舒漾祁砚】好看～热门小说～阅读-（舒漾祁砚）笔趣阁❗书名：《舒漾祁砚》❗主角：舒漾祁砚全文请到公#众#号〖神山文学〗发个主角名，就行了　黎杰也看到了，第一时间喊了声：“老师！”　　梁书儿转头看向黎杰，笑着说：“你刚才不是说要找你老师问问题吗？还不快去？”　　黎杰一愣，一时间没反应过来梁书儿是什么意思。　　可下一秒人已经被梁书儿拽着往江葎那边走梁过去。　　王冰冰站在原地，看着走到江葎面前在说着什么的梁书儿，脸上的笑容消失。　　“我请吃饭还不答应？”王冰冰气的不行：“不就长的好看点，有什么了不起的。”　　身上的手机响起，看着来电，王冰冰的脸色很是难看，可是接通之后的声音却是很温柔。　　“她今天没时间，我约了，她是真没时间，而且她还跟我们学校的一个学长勾搭上了，也不知道是什么时候认识的，放心，我后面会再找机会的……”　　……　　餐厅内。　　江葎把梁书儿点的酒给取消，换成了热牛奶。　　“我想喝酒。”梁书儿说：“就喝一点点，又不喝醉。”　　“不行。”江葎想也没想的拒绝。　　“酒也不能喝，冰的也不行。”梁书儿有点委屈的看着他：“我现在就不想喝牛奶。”　　“除了酒和冰的什么都可以。”江葎说着拿毛巾给梁书儿擦了一下手，同时在他的耳边用只有两人能听到的声音低声说了句什么。　　梁书儿的眼睛瞬间睁大：“你怎么知道？”　　江葎看着她：“还喝吗？”　　“……不喝了。”　　“嗯。”江葎点头：“乖。”　　黎杰坐在对面目瞪口呆的看着，自主的打了一个嗝。　　他这还什么都没吃呢，怎么就感觉已经饱了。　　梁书儿后知后觉的发现对面还坐了一个人，顿时变得有点不好意思，轻咳了一声，看着黎杰开口：“你要是想要喝酒的话可以点的。”　　“我不喝。”黎杰笑着说：“我从来不喝酒。”　　“那你可少了多少乐趣啊。”梁书儿说。　　“还好。”黎杰看向江葎：“老师也不喝酒。”　全文请到公#众#号〖神山文学〗发个主角名，就行了,正面
《舒漾祁砚》（《舒漾祁砚》小说全集完整大结局）全文阅读笔趣阁❗书名：《舒漾祁砚》❗主角：舒漾祁砚全文请到公#众#号〖神山文学〗发个主角名，就行了　“嗯。”听到她的这个决定，江葎很是愉悦的点头：“我同意。”　　“你都不劝一下的吗？”梁书儿问。　　江葎把凉好的汤推到她的面前，反问：“为什么要劝？”　　“……”　　“我也觉得不用劝。”黎杰插嘴：“老师师娘你们可是新婚，新婚分居对感情不好。”　　“更何况以我老师的条件，师娘你放心吗？”　　黎杰说完又看向江葎：“老师，我师娘才转学过来我可就在学校论坛看到有人贴了师娘的照片并且求详细资料的，老师你放心吗？”　　黎杰这话一落，江葎跟梁书儿两人的脸色皆都是一沉。　　一阵手机铃声忽然响起，是梁书儿的，而且来电的人还是才提过的王冰冰。　　梁书儿只是看了一眼就摁了静音，不想接。　　王冰冰接连打了几个都没接之后发了消息过来：　　【书儿，我看到有人发你跟黎杰学长还有江教授一起吃饭的照片，你不是说你要去陪你的男朋友吗？】　　【你是不是对我有什么意见啊，我只是单纯的想要请你吃饭而已，毕竟上次的是你请的，我这个人不喜欢欠人人情，就想着请回来。】　　【对了，黎杰学长是江教授唯一的学生，他竟然能带你见江教授，你们是什么关系啊？】　　【书儿，朋友一场，别怪我没提醒你，我知道黎杰学长长得很帅，你心里对他有什么想法，可你是有男朋友的人，这种事情不能做，你男朋友要是知道该多伤心啊。】　　【虽然我们才认识没多久，可我是真心把你当朋友所以才跟你说这些的，要是让你不高兴了你别介意，我是为了你好，毕竟女孩子的名声很重要的。】　　江葎离得近，稍稍抬眼就看到了手机上的内容，梁书儿也没避着不让看。　　江葎眸光微顿，神色有点不好看。　　“怎么了师娘？”黎杰问：“谁的消息，你的脸色怎么这么不好看？”　　梁书儿关了手机抬头：“黎杰，有人拍了我们现在吃饭的照片，然后现在都在传我是你女朋友。”　　“啪嗒”一声，黎杰手里的筷子掉在了桌上。　　“师娘，这话可不能乱说啊。”黎杰生气的拿出手机：“谁这么无聊啊，吃个饭也要拍。”　　江葎抬头：“你不是还有事？”　　“我没——”黎杰的话在对上江葎看过来的目光时一顿，忙改口：“哦对，我想起来实验室还有事。”第全文请到公#众#号〖神山文学〗发个主角名，就行了,正面
叮咚！我是今日份的小奖章！我在王冰冰超话等级达到LV.8，获得冰清玉洁头衔，想知道我是怎么获得的吗？来王冰冰超话找我聊聊吧~,负面
王冰冰超话突然发现这里可以发一些半成品,负面
王冰冰超话,负面
王冰冰超话,负面
王冰冰超话,负面
王冰冰超话,负面
王冰冰超话,负面
王冰冰超话,负面
王冰冰超话,负面
王冰冰超话粉色和小女孩最般配了,正面
王冰冰超话冰冰这巨头看着的确是不小😂#王冰冰#LGD鹿小康的微博视频,负面
王冰冰冰冰今天造型的手机壁纸哪位大大抓紧时间做一做啊，等着过年用,正面
王冰冰超话是时候早点休息了！晚安！周末愉快！也祝我明天考试一切顺利！成功上岸！,正面
王冰冰超话《奇妙中国第二季》宣传片，期待节目，,正面
王冰冰超话明天考试，冰冰姐赐予我力量！,正面
