微博id,uni_id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,微博bid
1863275165,NbmsJ7v3q,机智猫,2023-07-24 17:26:13,【荣耀MagicPad13/小米Pad6Pro/OPPOPad2/vivoPad2，2500元级安卓平板横评】  每年到了暑期，大家选购平板的需求都很旺盛，这次我集齐了荣米OV 2500档的主打产品，对比测试影音、性能、外设、系统等多个方面，看看哪款更值得买？  #安卓平板##平板推荐# 机智猫的微博视频 ,0,9,50,中国,重庆,重庆,有任何投稿、爆料、合作请直接私信,1717,53.5万,m,https://m.weibo.cn/u/1863275165?,https://m.weibo.cn/detail/NbmsJ7v3q,
1859683200,,涛哥爱拆机,2023-04-20 08:00:01,小米Pad6Pro拆解，骁龙8下放到了平板里#小米pad6pro #小米Pad6 #小米平板6pro# 涛哥爱拆机的微博视频 ,0,4,30,中国,北京,北京,🛠️东拆西拆人艰不拆 📃努力赚钱赔大家手机中,483,13.5万,m,https://m.weibo.cn/u/1859683200?,https://m.weibo.cn/detail/MCOC3jkT5,MCOC3jkT5
6510120622,,黑蚁Ant,2023-03-11 20:05:52,小米#数码##小米##小米13#  Pad6Pro这次真的很惊艳，屏下指纹，全面屏， 参数上IP68认证，高像素多摄影像模组 Pad6：HRR TOP LCD面板 Pad6Pro：HRR OLED面板 ,0,34,39,中国,江苏,南京,坚信每一款数码产品都有其存在的价值和意义。,784,1.6万,m,https://m.weibo.cn/u/6510120622?,https://m.weibo.cn/detail/MwOgOu5nZ,MwOgOu5nZ
6025554044,,南有杦木,2024-09-29 08:27:28,逆水寒手游  小米pad6pro昨天傍晚开始到现在都进不去 我服了啊。为什么！为什么！为什么要闪退！ 一定要在电脑上登录了才能进去我也是无语…！！ 你干嘛！！！！！@逆水寒手游  别睡了！@逆水寒手游  起来上班！！！@逆水寒手游 ,0,6,0,中国,广西,桂林,一面是日光 一面是果香,208,53,f,https://m.weibo.cn/u/6025554044?,https://m.weibo.cn/detail/OzbwJnLLJ,OzbwJnLLJ
6975609373,,小栋微博版,2024-09-19 22:41:21,今天北京终于出了月亮，第一张是小米14pro拍的，第二张是小米11pro拍的，第三张是小米pad6pro拍的 #我最满意的摄影作品##摄影馆# (来自@小米社区) ,0,0,0,中国,北京,北京,永远支持中国队！ 支持:山东泰山 皇家马德里 关注:北京国安 拜仁 曼城 铁路爱好:济南局 数码爱好:苹果 华为 小米 手持:小米14pro 小米11pro 摄影小白,189,6,m,https://m.weibo.cn/u/6975609373?,https://m.weibo.cn/detail/OxKQmaoOT,OxKQmaoOT
5727868040,,萌妹战队的小rain吖,2024-09-05 14:35:18,第五人格第五人格一直这样，然后过不久显示补丁下载失败，从早上搞到现在了，快被气死了，反复卸载好几次了，心态崩了想退游了，谁能救救我小米pad6Pro ,0,7,0,中国,河南,驻马店,能找到喜欢的东西就好，能买单就好。,145,31,f,https://m.weibo.cn/u/5727868040?,https://m.weibo.cn/detail/OvzG7q8xa,OvzG7q8xa
7003527504,,提莫Veges,2024-08-23 14:18:05,各位小米pad6Pro用户们，请问一下你们手中的pad有没有充电口一侧屏幕发暗发绿的情况呀。#小米pad##小米pad6# ,0,0,1,中国,福建,莆田,.,44,3,m,https://m.weibo.cn/u/7003527504?,https://m.weibo.cn/detail/OtB0FAfnT,OtB0FAfnT
1922420503,,MurphyLLLLL,2024-07-26 15:45:12,恋与深空有用小米pad6pro玩的友友吗，我的卡退好严重 ,0,0,0,中国,河南,南阳,One more stupid love song I'll be sick,632,522,f,https://m.weibo.cn/u/1922420503?,https://m.weibo.cn/detail/OplC8f6yr,OplC8f6yr
6101900923,,柚子啵啵气泡水,2024-07-22 13:55:39,小米有没有人是小米pad6pro的板子配的gomi家的壳子，为什么我的自动唤醒功能失效了 ,0,0,1,中国,江苏,苏州,我是尘世间的追星人借着你的光看到了从未看到过的世界,202,51,f,https://m.weibo.cn/u/6101900923?,https://m.weibo.cn/detail/OoJbG70Rq,OoJbG70Rq
7355891674,,木苏里女友,2024-07-17 15:42:54,逆水寒手游最近想买平板，在IQOO pad和小米pad6pro之间犹豫，有没有友友可以推荐一下（ps:不介意屏幕尺寸） ,0,4,7,中国,山东,潍坊,,32,2,f,https://m.weibo.cn/u/7355891674?,https://m.weibo.cn/detail/OnYKJAyRu,OnYKJAyRu
6118762940,,小小小卷毛熊,2024-07-10 15:44:27,什么都是假的只有男朋友买的小米pad6pro是真的 ,0,0,0,中国,陕西,宝鸡,有一个超级可爱的男朋友,179,91,f,https://m.weibo.cn/u/6118762940?,https://m.weibo.cn/detail/OmULSDZPr,OmULSDZPr
6179910412,,黑科技解密,2024-07-07 06:50:46,探索挑战，尝试亲手拼装一台个性化的散装小米pad6pro？ #数码乐趣#小米平板6Pro组装体验#科技DIY# #小米平板# 你不知道的科学的微博视频 ,0,0,0,中国,北京,北京,世界好奇妙，你不知道的科学知识都在这里！,70,27.8万,m,https://m.weibo.cn/u/6179910412?,https://m.weibo.cn/detail/OmoZM2Jbb,OmoZM2Jbb
7876572334,,冷冬赴,2024-07-02 21:10:10,美美等小米pad6pro到我手上嘿嘿 ,0,0,0,中国,山东,滨州,镇魂｜别来看我,76,442,f,https://m.weibo.cn/u/7876572334?,https://m.weibo.cn/detail/OlJu7qVUb,OlJu7qVUb
6174602953,,金剪刀开箱,2024-06-09 12:51:33,第一波高考完的学生已经冲进小米之家了 实力充裕的直接拿下 小米14 redmi book14 小米pad6pro 小米手环8pro 脱离了高中不能接触电子设备的苦海后，直接迅速感受到科技进步的震撼 ,2,17,106,中国,广东,惠州,看开箱，长见识！ 金剪刀开箱，提供对客观科技数码的主观化观点,716,101.2万,m,https://m.weibo.cn/u/6174602953?,https://m.weibo.cn/detail/Oibojk1Up,Oibojk1Up
7110347757,,卡呢kiKen,2024-06-05 19:55:31,平板  求推荐，OPPO pad2和小米  pad6pro还有最近新出的华为11.5S哪个性价比高一些，更推荐 ,0,12,3,中国,山东,聊城,互联网随时发疯的精神分裂者,409,12,f,https://m.weibo.cn/u/7110347757?,https://m.weibo.cn/detail/OhCsq9h5i,OhCsq9h5i
6106316818,,邻座的怪薯条,2024-06-03 10:23:18,要不怎么说大家都买ipad呢。。。小米pad6pro你个水货，手贱更新系统打游戏切换横屏就闪退，反向优化是吧，这辈子再也不会买小米 ,0,0,0,中国,吉林,N/A,宇宙在你沉睡时消失不见。,530,42,f,https://m.weibo.cn/u/6106316818?,https://m.weibo.cn/detail/OhfR9rNOx,OhfR9rNOx
6509131660,,注视着永无止境的梦境的我们,2024-05-28 13:26:51,集美我看我还是买小米pad6pro吧 原因有3 1因为我是米猴 2因为我是米猴 3因为我是米猴 ,0,0,0,中国,河南,焦作,我操啊集美咔人不就是为了互相避雷吗没必要那么生气么么哒,244,18,f,https://m.weibo.cn/u/6509131660?,https://m.weibo.cn/detail/OgmuG5sEu,OgmuG5sEu
5310069897,,y王一博的小宝贝,2024-05-26 22:20:02,什么都是假的  只有我宝宝给我买的小米pad6pro是真的 ,0,0,2,中国,河北,唐山,,34,20,f,https://m.weibo.cn/u/5310069897?,https://m.weibo.cn/detail/Og786uZoX,Og786uZoX
6575585329,,游戏真难玩啊,2024-04-28 23:43:08,逆水寒手游买了小米pad6pro来玩逆水寒，希望不要让我失望 ,0,2,5,中国,四川,南充,一个爱玩游戏的在逃女大,149,146,f,https://m.weibo.cn/u/6575585329?,https://m.weibo.cn/detail/ObRHVFJRq,ObRHVFJRq
7439749829,,我是小布丁哦o,2024-04-19 12:01:54,#notein一笔记#我用的是小米pad6pro+小米二代触控笔，第一次尝试用Notein之后下载了很多笔记软件（云记，享做app等），最后果断选择了Notein笔记，只留下了这一个。 Notein的界面设计非常简洁明了，没有广告！没有广告！没有广告！ 1. **笔属性调整**：允许用户根据个人喜好调整笔的属性，如钢笔模式， ...全文,0,0,2,中国,河南,郑州,,109,1,m,https://m.weibo.cn/u/7439749829?,https://m.weibo.cn/detail/OaqgPzPn2,OaqgPzPn2
7365397295,,会玩手机的时光龙,2024-04-16 23:05:28,兄弟的k60和女朋友的pad6Pro，今天一直疯狂重启，原因未知。  @雷军 @小米售后 @小米客服 @小米手机 @小米之家 @小米商城 ,0,2,1,中国,安徽,合肥,忠实的混乱阵营,456,55,f,https://m.weibo.cn/u/7365397295?,https://m.weibo.cn/detail/Oa2kGoO5k,Oa2kGoO5k
7913241403,,shenlilnhua,2024-04-10 07:52:49,小米pad6Pro，更新了澎湃系统之后也没有想象中的那么卡 ,0,3,3,中国,贵州,贵阳,,30,8,m,https://m.weibo.cn/u/7913241403?,https://m.weibo.cn/detail/O91Ngf8Zy,O91Ngf8Zy
7651060505,,c下下签c,2024-03-28 00:11:39,想问一下小米pad6Pro和小米pad6SPro那个更具性价比小米 ,0,0,2,中国,安徽,合肥,,19,2,m,https://m.weibo.cn/u/7651060505?,https://m.weibo.cn/detail/O70dCjJJ1,O70dCjJJ1
5487346144,,昇昇手机连锁_徐晓晗,2024-03-27 10:46:22,小米pad6pro#买手机找徐晓晗#小米 盘锦·昇昇手机广场 ,0,0,0,中国,辽宁,盘锦,诚实守信,158,756,m,https://m.weibo.cn/u/5487346144?,https://m.weibo.cn/detail/O6UWKs2OY,O6UWKs2OY
7598326340,,第壹责任人,2024-03-13 21:08:29,小米pad6pro收到了，速度相当迅捷。谢谢@且听Phone吟 感激涕零，不胜言表。 ,0,0,0,中国,江苏,南京,我不管了啊,895,15,m,https://m.weibo.cn/u/7598326340?,https://m.weibo.cn/detail/O4R2jAkY7,O4R2jAkY7
7776238436,,pc1687丶,2024-03-03 11:27:53,小米平板我pad6pro的ota功能呢？还是小米的日历有两个2月啊？ ,0,2,1,中国,广东,N/A,,2,1,m,https://m.weibo.cn/u/7776238436?,https://m.weibo.cn/detail/O3gXGwxdP,O3gXGwxdP
7204433263,,随身uu,2024-02-29 21:31:30,#云记#小米pad6pro 2.9.0.4版本闪退打不开了 ,0,5,4,中国,重庆,重庆,,198,3,m,https://m.weibo.cn/u/7204433263?,https://m.weibo.cn/detail/O2SDddpow,O2SDddpow
7273526242,,美味煲仔饭_,2024-02-29 14:07:16,恋与深空有没有姐妹用小米pad6pro的你们平板下载的深空横屏打怪有闪退的情况吗我一进入就退出来根本打不了 ,0,6,1,中国,河北,石家庄,,216,5,f,https://m.weibo.cn/u/7273526242?,https://m.weibo.cn/detail/O2PITkc41,O2PITkc41
7774312637,,极品电蚊拍,2024-02-28 00:25:11,小米我真服了，小米Pad6PRO关机后耗电是什么意思，晚上充满电第二天打开就亏电了，我人都傻了。家人们知道是什么原因吗😭 ,0,0,0,中国,天津,天津,聚聚,149,13,f,https://m.weibo.cn/u/7774312637?,https://m.weibo.cn/detail/O2AUI2gEl,O2AUI2gEl
7052705550,,我们会都好,2024-02-22 22:19:46,当时平板明明买的小米pad6pro啊，怎么突然一看是小米pad6呢当时还买了个笔，我说怎么好像便宜个300，当时开学季，他说我有券，我以为搞活动呢，结果就不是一款。 ,0,5,5,中国,甘肃,定西,我的微博，少管我。,187,37,f,https://m.weibo.cn/u/7052705550?,https://m.weibo.cn/detail/O1OXjAYWk,O1OXjAYWk
6025554044,,南有杦木,2024-02-22 13:15:53,逆水寒手游 麻烦问一下大家。就这个大宋任我行的活动，为什么游戏中会蓝屏啊？ 是我设备的问题吗？是小米pad6Pro。 ,0,3,0,中国,广东,惠州,一面是日光 一面是果香,208,53,f,https://m.weibo.cn/u/6025554044?,https://m.weibo.cn/detail/O1LoyzrUa,O1LoyzrUa
6005681299,,虚构天才,2024-02-10 14:09:22,恋与深空小米pad6pro开极致画质这样正常吗，我真服了……马上就成米黑了 ,0,6,1,中国,河南,商丘,所谓真相，永远是片面的,577,178,f,https://m.weibo.cn/u/6005681299?,https://m.weibo.cn/detail/NFU4D58Ed,NFU4D58Ed
7160037023,,Ruiz_F,2024-01-27 13:30:25,小米澎湃OS#小米澎湃OS#  小米Pad6Pro正式版内测 更新OS1.0.4.0.UMYCNXM 更新pc框架，支持运行WPS Office PC ,1,1,2,中国,浙江,宁波,夢を叶えるためには、夢のレンガを積む作業が欠かせない。,278,16,m,https://m.weibo.cn/u/7160037023?,https://m.weibo.cn/detail/NDLPS3AFP,NDLPS3AFP
6283569568,,西厅鹿鸣,2024-01-21 06:40:56,小米新平板通过3C认证，型号24018RPACC。最高支持120W有线充电， 附赠MDY-12-ED充电器。 小米Pad6pro 12.4？ ,0,1,0,俄罗斯,俄罗斯,N/A,莫斯科大学小米俱乐部IRC主任 | TenYearsMiFans | 米家好物推荐官,2774,528,m,https://m.weibo.cn/u/6283569568?,https://m.weibo.cn/detail/NCOAGfXoe,NCOAGfXoe
7491413095,,初雪见逸,2024-01-20 19:56:04,恋与深空最近想买个平板大屏享受，所以问问大家哪个平板能带动这个游戏啊？小米pad6pro可以不？ ,0,13,0,中国,四川,成都,,330,60,f,https://m.weibo.cn/u/7491413095?,https://m.weibo.cn/detail/NCKmVwIDH,NCKmVwIDH
7461082515,,为什么我想的名字都有人取,2024-01-18 10:42:22,设备是小米pad6pro，为什么一进战斗就闪退呀 为什么我想的名字都有人取的微博视频 ,0,11,1,中国,重庆,N/A,,271,5,f,https://m.weibo.cn/u/7461082515?,https://m.weibo.cn/detail/NCnTbCqxj,NCnTbCqxj
7842713669,,小杨-同学k,2024-01-17 08:24:04,我小米pad6Pro多久更新PC级WPS#小米手机# 小米平板 ,0,1,0,中国,重庆,N/A,,50,1,m,https://m.weibo.cn/u/7842713669?,https://m.weibo.cn/detail/NCdyyuius,NCdyyuius
6715515870,,chanana_vencheal,2024-01-15 14:37:30,有没有大学生啊！想买平板 不打游戏 看剧和学习！ 然后可能后期要考研 手机是小米14 在华为matepad11 2023版和小米pad6Pro之间纠结有人说华为的鸿蒙系统更流畅，然后学习更方便。有人推荐买和手机一样的牌子小米 谁来救救我啊小米华为 ,0,9,3,中国,陕西,西安,没素质且爱发疯,657,100,f,https://m.weibo.cn/u/6715515870?,https://m.weibo.cn/detail/NBX98EeDf,NBX98EeDf
7887789823,,男神真衰,2024-01-09 22:50:24,小米平板你们说我是买小米pad6Pro，还是等小米pad7Pro啊 ,0,6,12,中国,河北,邢台,,95,1,m,https://m.weibo.cn/u/7887789823?,https://m.weibo.cn/detail/NB5Oex5gt,NB5Oex5gt
5566581684,,给一次改名机会吧,2024-01-06 23:13:12,小米小米pad6pro更新系统后，平板打开软件就有上面的三个点了，真的很影响我打游戏和看电视的观感啊，到底怎么取消！！找不到一点！ ,0,0,3,中国,广西,南宁,啊？我在打游戏。,166,33,f,https://m.weibo.cn/u/5566581684?,https://m.weibo.cn/detail/NADFZBz3n,NADFZBz3n
5076478947,,风向哪啊,2024-01-01 22:19:37,啊嘞，小米13和pad6Pro一起推送了澎湃 ,0,0,2,中国,湖南,邵阳,平安健康  尽量快乐,1163,289,f,https://m.weibo.cn/u/5076478947?,https://m.weibo.cn/detail/NzSbLgjwo,NzSbLgjwo
5682482583,,硬糖大熊,2023-12-31 18:20:36,总结一下2023年三分钟热度买的一些乱七八糟 switch oled 富士xt10 小米pad6pro和小米13 sony wh-ch720n 美利达rim100公路自行车 美利达挑战者100平把公路 anyway小鱼板 北通阿修罗手柄 铃木gsx250摩托车 对今年的三分钟热度很满意 明年继续努力 ,0,5,14,中国,河北,邯郸,是有山 是快乐的有山,57,11,m,https://m.weibo.cn/u/5682482583?,https://m.weibo.cn/detail/NzHcfrwxI,NzHcfrwxI
2058991594,,小北门喝西瓜,2023-12-25 08:51:37,@雷军 @小米公司 不是小米现在的品控就已经到了一个月就坏的地步吗？？买了个pad6pro，分辨率、屏幕比例不行就算了，还卡，现在连快充就坏了？？ 售后还跟答辩一样，先说申请一个新的充电器，然后开始装死，不是系统故障就是没货，也不回应其他处理方式和处理时效，天天玩情怀呢？？啊？？#小米公司# ...全文,0,3,0,中国,湖南,长沙,无法改变的rock HIDE！,574,219,f,https://m.weibo.cn/u/2058991594?,https://m.weibo.cn/detail/NyIUjv2vU,NyIUjv2vU
6271587548,,抱着枕头睡觉呀,2023-12-20 20:19:41,在三个月的等待后Pad6PRO用户迎来了 没有高级材质 没有PC端WPS 没有景深锁屏 没有九宫格文件夹 没有桌面流畅度优化 没有打断动画 没有小爱大模型 更改为了极其不好用的小白条逻辑 整体完成度远不如手机的（虽然手机完成度也一般） HyperOS1.0.2！（甚至版号和半个月前MAX的一样）  你慢发就算了，你答 ...全文,0,1,6,中国,广东,中山,青松月下，寂静无声,173,80,m,https://m.weibo.cn/u/6271587548?,https://m.weibo.cn/detail/Ny2h7mTtb,Ny2h7mTtb
1915306962,,李佩-LP,2023-12-13 23:49:56,hyper OS是不是放弃了小米pad6Pro了？  #正式版内测# (来自@小米社区) ,0,0,10,中国,四川,成都,,651,4210,m,https://m.weibo.cn/u/1915306962?,https://m.weibo.cn/detail/NwZEZ6sQq,NwZEZ6sQq
7127331651,,废话81226,2023-12-11 08:38:22,求问K70pro双十二会降价吗？面对真我GT5Pro的质价比打压我真的不知道如何抉择，我是该考虑小米pad6Pro一个系统跟生态吗，还是选择真我。 如果我选择一个生态但同样的价格却买了个配制被压制的话我只能说如梗在喉。#k70pro双十二降价吗？# ,0,5,5,中国,重庆,N/A,,103,1,m,https://m.weibo.cn/u/7127331651?,https://m.weibo.cn/detail/NwAPZkAyK,NwAPZkAyK
6526309496,,飞驰而过的刮毛刀,2023-12-07 00:25:34,你审阅者希望能把这篇文章给看完并反映给你高层。这并不是说你下架就能解决的事。OS能做就做，要做就做好，搞什么OS尝鲜计划，彻头彻尾的饥饿营销，还搞什么沟通大会，不纯属找骂嘛不是。且不说咱小米手机短命，就拿我pad6Pro来讲，你说你这么大一个团队，刚没发布多久的一个板子对吧，什么os也没有推 ...全文,0,2,1,中国,重庆,重庆,,65,6,m,https://m.weibo.cn/u/6526309496?,https://m.weibo.cn/detail/NvVTYqhjf,NvVTYqhjf
5345076961,,段昀湮,2023-12-04 23:41:53,iPad小米pad6pro要不要退了换ipad10 刚买了小米pad6pro，但是纠结要不要退了换 ipad10，小米起来感觉有的软件不适配，横屏显示不全。画面有点糊。平时会看看电影和工作规章，玩玩星铁。 ,0,1,2,中国,山东,青岛,,345,53,m,https://m.weibo.cn/u/5345076961?,https://m.weibo.cn/detail/NvCLfkzz5,NvCLfkzz5
7193153077,,欸嘿a,2023-12-01 20:46:48,高能英雄小米pad6pro阴影咋是这样的而且有90帧选项开不了 ,0,1,0,中国,天津,N/A,ok,62,3,m,https://m.weibo.cn/u/7193153077?,https://m.weibo.cn/detail/Nv9kHcIjU,Nv9kHcIjU
